Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Mokotów,Szkoła Policealna nr 50 dla Dorosłych,Zespół Szkół Odzieżowych Fryzjerskich i Kosmetycznych nr 22,ul. Kazimierzowska 60 Warszawa,Magdalena Jarosińska,228496218,przeglądaj
Mokotów,Szkoła Policealna nr 51 dla Dorosłych,Zespół Szkół nr 39 im. prof. Edmunda Jankowskiego,ul. Bełska 1/3 Warszawa,Dorota Nasierowska,228485386,przeglądaj
Mokotów,Szkoła Policealna nr 52 dla Dorosłych,Zespół Szkół Hotelarsko-Turystyczno-Gastronomicznych nr 1,ul. Krasnołęcka 3 Warszawa,Bogusława Pieńkowska,228404896,przeglądaj
Praga Północ,Szkoła Policealna nr 53 dla Dorosłych,Zespół Szkół nr 11 im. Władysława Grabskiego,ul. Ratuszowa 13 Warszawa,Jan Grądzki,226193058,przeglądaj
Bielany,Szkoła Policealna nr 6,Zespół Szkół nr 18,ul. Stefana Żeromskiego 81 Warszawa,Elżbieta Królak,228347201,przeglądaj
Wola,Szkoła Policealna nr 7,Zespół Szkół Fototechnicznych,ul. Spokojna 13 Warszawa,Grażyna Dobrzyńska-Klepacz,228387091,przeglądaj
Mokotów,Szkoła Policealna nr 9,Zespół Szkół nr 3 im. 2 Armii Wojska Polskiego,ul. Fryderyka Joliot-Curie 13 Warszawa,Halina Rogowska-Oktaba,228446663,przeglądaj
Wola,Szkoła Policealna Specjalna nr 40,Specjalny Ośrodek Szkolno-Wychowawczy dla Głuchych im. Jana Siestrzyńskiego,ul. Łucka 17/23 Warszawa,Anna Stopińska,226242891,przeglądaj
Śródmieście,Szkoła Specjalna Przysposabiająca do Pracy nr 1,Zespół Szkół Specjalnych nr 105 im. Kazimierza Kirejczyka,ul. Długa 9 Warszawa,Elżbieta Kostrzewa,228311855,przeglądaj
Praga Północ,Szkoła Specjalna Przysposabiająca do Pracy nr 2,Zespół Szkół Specjalnych nr 38,ul. Namysłowska 10 Warszawa,Ewa Mielczarska-Syskowska,226197234,przeglądaj
Praga Południe,Szkoła Specjalna Przysposabiająca do Pracy nr 3,Zespół Szkół Specjalnych nr 89,ul. Skaryszewska 8 Warszawa,Małgorzata Rosa,226190080,przeglądaj
Śródmieście,Szkoła Specjalna Przysposabiająca do Pracy nr 4,Instytut Głuchoniemych im. Jakuba Falkowskiego,Plac Trzech Krzyży 4/6 Warszawa,Tadeusz Adamiec,226280431,przeglądaj
Śródmieście,Szkoła Specjalna Przysposabiająca do Pracy nr 5 im. Eunice Kennedy Shriver,Zespół Szkół Specjalnych nr 85,ul. Elektoralna 12/14 Warszawa,Agnieszka Tymińska,226205772,przeglądaj
Praga Południe,Szkoła Specjalna Przysposabiająca do Pracy nr 6,Zespół Szkół Specjalnych nr 90,ul. Augustyna Kordeckiego 54 Warszawa,Danuta Wodyk-Wyczółkowska,226103421,przeglądaj
Mokotów,Szkoła Specjalna Przysposabiająca do Pracy nr 7,Zespół Placówek Szkolno-Wychowawczo-Rewalidacyjnych nr 1,ul. Bełska 5 Warszawa,Jolanta Krzepicka,228485530,przeglądaj
Wawer,Szkoła Specjalna Przysposabiająca do Pracy nr 8,Zespół Szkół Specjalnych nr 102,ul. Przedwiośnie 1 Warszawa,Jolanta Marszycka-Suchecka,226130638,przeglądaj
Śródmieście,Technikum Architektoniczno-Budowlane im. Stanisława Noakowskiego,Zespół Szkół Architektoniczno-Budowlanych i Licealnych im. Stanisława Noakowskiego,ul. Przyrynek 9 Warszawa,Katarzyna Majewska-Mrówczyńska,228310696,przeglądaj
Wola,Technikum Budowlane nr 5 im. prof. Stefana Bryły,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Śródmieście,Technikum Budownictwa i Architektury nr 1 im. prof. Zdzisława Mączeńskiego,Zespół Szkół nr 23,ul. Górnośląska 31 Warszawa,Barbara Krakós,226211350,przeglądaj
Śródmieście,Technikum Ekonomiczne nr 1 im. Mikołaja Kopernika,Zespół Szkół Licealnych i Ekonomicznych nr 1,ul. Stawki 10 Warszawa,Dorota Lipińska,228311168,przeglądaj
Bielany,Technikum Ekonomiczne nr 5,Zespół Szkół nr 35 im. Zofii Jaroszewicz Kasi,ul. Stefana Żeromskiego 22/28 Warszawa,Sławomir Sawicki,228343264,przeglądaj
Mokotów,Technikum Ekonomiczne nr 8,Zespół Szkół nr 3 im. 2 Armii Wojska Polskiego,ul. Fryderyka Joliot-Curie 13 Warszawa,Halina Rogowska-Oktaba,228446663,przeglądaj
Wola,Technikum Elektroniczne nr 1,Zespół Szkół nr 36 im. Marcina Kasprzaka,ul. Marcina Kasprzaka 19/21 Warszawa,Krzysztof Ślusarczyk,226320211,przeglądaj
Żoliborz,"Technikum Elektroniczne nr 3 im. Żołnierzy Armii Krajowej ""Żywiciel""",Zespół Szkół Elektronicznych i Licealnych,ul. gen. Józefa Zajączka 7 Warszawa,Halina Szczur,228391223,przeglądaj
Żoliborz,Technikum Elektryczne nr 2 im. Synów Pułku,Zespół Szkół nr 28,ul. gen. Józefa Zajączka 7 Warszawa,Luiza Tkacz,228443634,przeglądaj
Śródmieście,Technikum Elektryczno-Elektroniczne nr 1,Zespół Szkół nr 22 im. Emiliana Konopczyńskiego,ul. Emiliana Konopczyńskiego 4 Warszawa,Bożena Grzelewska,228264380,przeglądaj
Wola,Technikum Fototechniczne,Zespół Szkół Fototechnicznych,ul. Spokojna 13 Warszawa,Grażyna Dobrzyńska-Klepacz,228387091,przeglądaj
Śródmieście,Technikum Gastronomiczno-Hotelarskie nr 1,Zespół Szkół Gastronomicznych im. prof. Eugeniusza Pijanowskiego,ul. Poznańska 6/8 Warszawa,Marzena Cieślak,226285628,przeglądaj
Praga Południe,Technikum Gastronomiczno-Hotelarskie nr 2 im. prof. Stanisława Bergera,Zespół Szkół Gastronomiczno-Hotelarskich,ul. Majdańska 30/36 Warszawa,Anna Chylińska,228100489,przeglądaj
Praga Północ,Technikum Geologiczno-Geodezyjno-Drogowe im. prof. dr Stanisława Kluźniaka,Zespół Szkół nr 14,ul. Józefa Szanajcy 5 Warszawa,Małgorzata Augustowska,226194713,przeglądaj
Mokotów,Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21,Zespół Szkół Hotelarsko-Turystyczno-Gastronomicznych nr 1,ul. Krasnołęcka 3 Warszawa,Bogusława Pieńkowska,228404896,przeglądaj
Bielany,Technikum Księgarskie im. Stefana Żeromskiego,Zespół Szkół nr 18,ul. Stefana Żeromskiego 81 Warszawa,Elżbieta Królak,228347201,przeglądaj
Praga Północ,Technikum Mechaniczne nr 5 im. Stefana Starzyńskiego,Zespół Szkół nr 40 im. Stefana Starzyńskiego,ul. Objazdowa 3 Warszawa,Beata Doroś-Woźniak,226194540,przeglądaj
Żoliborz,Technikum Mechaniczne nr 7 im. Jana Kilińskiego,Zespół Szkół nr 31 im. Jana Kilińskiego,ul. Alojzego Felińskiego 13 Warszawa,Maria Witomska-Rynkowska,228390041,przeglądaj
Mokotów,Technikum Mechatroniczne nr 1,Zespół Szkół Licealnych i Technicznych nr 1,ul. Wiśniowa 56 Warszawa,Sławomir Kasprzak,226464499,przeglądaj
Ochota,Technikum nr 10,Zespół Szkół nr 4 im. Eugeniusza Kwiatkowskiego,ul. Szczęśliwicka 46 Warszawa,Jerzy Tulik,228231436,przeglądaj
