Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Bielany,Bursa nr 8,Zespół Placówek Opiekuńczo-Wychowawczych,Aleja Władysława Reymonta 16 Warszawa,Małgorzata Gontarek,228348684,przeglądaj
Śródmieście,Bursa Szkolna nr 1 im. Wiktora Kordowicza,Zespół Placówek - Europejski Dom Spotkań Młodzieży,ul. Długa 18/20 Warszawa,Henryk Głuski,228311545,przeglądaj
Wola,Bursa Szkolna nr 4,Bursa Szkolna nr 4,ul. Księcia Janusza 45/47 Warszawa,Jakub Czarkowski,228361813,przeglądaj
Praga Południe,Bursa Szkolna nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,Bursa Szkolna nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,ul. Zagójska 3 Warszawa,Marta Baj,228108488,przeglądaj
Wola,Bursa Szkolna nr 6,Bursa Szkolna nr 6,ul. Okopowa 55a Warszawa,Edyta Pałubińska,228389596,przeglądaj
Praga Południe,Centrum Kształcenia Praktycznego,Centrum Kształcenia Praktycznego,ul. Mińska 1/5 Warszawa,Stanisław Karolkiewicz,226190038,przeglądaj
Wola,Centrum Kształcenia Ustawicznego nr 3,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Targówek,CII Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. księdza Józefa Woźniaka,Zespół Szkół z Oddziałami Integracyjnymi nr 41,ul. Bartnicza 2 Warszawa,Małgorzata Kober,228111820,przeglądaj
Praga Południe,CIV Liceum Ogólnokształcące dla Dorosłych,Centrum Kształcenia Ustawicznego nr 5,ul. Mińska 1/5 Warszawa,Beata Giziewicz,228187021,przeglądaj
Ursynów,CIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Heleny Modrzejewskiej,CIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Heleny Modrzejewskiej,ul. Edwarda Warchałowskiego 4 Warszawa,Wanda Skrzypczyk,226435756,przeglądaj
Żoliborz,CL Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół Samochodowych i Licealnych nr 3 im. Ignacego Jana Paderewskiego,ul. Włościańska 35 Warszawa,Alicja Stańczyk,226633038,przeglądaj
Mokotów,CLI Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 39 im. prof. Edmunda Jankowskiego,ul. Bełska 1/3 Warszawa,Dorota Nasierowska,228485386,przeglądaj
Mokotów,CLII Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 27,ul. Wincentego Rzymowskiego 38 Warszawa,Artur Jeżewski,228436681,przeglądaj
Mokotów,CLIII Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół Odzieżowych Fryzjerskich i Kosmetycznych nr 22,ul. Kazimierzowska 60 Warszawa,Magdalena Jarosińska,228496218,przeglądaj
Ursus,CLIV Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 42,ul. Dzieci Warszawy 42 Warszawa,Katarzyna Konczewska,226626281,przeglądaj
Białołęka,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,Zespół Szkół nr 106,ul. Vincenta van Gogha 1 Warszawa,Elżbieta Gęsina,228844380,przeglądaj
Mokotów,CX Liceum Ogólnokształcące im. Roberta Schumana,Zespół Szkół nr 59,ul. Jana III Sobieskiego 68 Warszawa,Ewa Kacprzyk,228424792,przeglądaj
Praga Południe,CXI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,Zespół Szkół nr 5 im. Stefana Kisielewskiego,ul. Szczawnicka 1 Warszawa,Jan Pilczuk,228105423,przeglądaj
Żoliborz,CXIV Liceum Ogólnokształcące im. Jana Kilińskiego,Zespół Szkół nr 31 im. Jana Kilińskiego,ul. Alojzego Felińskiego 13 Warszawa,Maria Witomska-Rynkowska,228390041,przeglądaj
Wola,CXIX Liceum Ogólnokształcące im. Jacka Kuronia,CXIX Liceum Ogólnokształcące im. Jacka Kuronia,ul. Złota 58 Warszawa,Teresa Wesołowska,226201141,przeglądaj
Targówek,CXL Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 34 im. Mieszka I,ul. Mieszka I 7 Warszawa,Mieczysław Pietrucha,227442415,przeglądaj
Bielany,CXLI Liceum Ogólnokształcące Specjalne,Zespół Placówek Opiekuńczo-Wychowawczych,Aleja Władysława Reymonta 16 Warszawa,Małgorzata Gontarek,228348684,przeglądaj
Wola,CXLII Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół Samochodowych i Licealnych nr 2,Aleja Jana Pawła II 69 Warszawa,Tadeusz Wojciechowski,228380461,przeglądaj
Bielany,CXLIII Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 10 im. Stanisława Staszica,ul. Włodzimierza Perzyńskiego 10 Warszawa,Ewa Gumieniak,228332868,przeglądaj
Wola,CXLIV Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 36 im. Marcina Kasprzaka,ul. Marcina Kasprzaka 19/21 Warszawa,Krzysztof Ślusarczyk,226320211,przeglądaj
Żoliborz,CXLIX Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół Elektronicznych i Licealnych,ul. gen. Józefa Zajączka 7 Warszawa,Halina Szczur,228391223,przeglądaj
Wola,CXLV Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół Stenotypii i Języków Obcych,ul. Ogrodowa 16 Warszawa,Arkadiusz Olejniczak,226204580,przeglądaj
Praga Północ,CXLVI Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 33,ul. Targowa 86 Warszawa,Marek Tomasiewicz,226193789,przeglądaj
Praga Południe,CXLVII Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół Spożywczo-Gastronomicznych,ul. Komorska 17/23 Warszawa,Ewa Lada,226103588,przeglądaj
Mokotów,CXXI Liceum Ogólnokształcące Specjalne w Instytucie Psychiatrii i Neurologii,Zespół Szkół Specjalnych nr 96 w Instytucie Psychiatrii i Neurologii,ul. Jana III Sobieskiego 9 Warszawa,Aneta Osowska,224582628,przeglądaj
Bielany,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,Zespół Szkół nr 51,ul. Leopolda Staffa 3/5 Warszawa,Włodzimierz Sacewicz,228640891,przeglądaj
Wawer,"CXXIII Liceum Ogólnokształcące Specjalne w Instytucie ""Pomnik - Centrum Zdrowia Dziecka""","Zespół Szkół Specjalnych nr 78 im. Ewy Szelburg-Zarembiny w Instytucie ""Pomnik Centrum Zdrowia Dziecka""",Aleja Dzieci Polskich 20 Warszawa,Grażyna Michalczuk,228151126,przeglądaj
Śródmieście,CXXIV Liceum Ogólnokształcące Specjalne,Instytut Głuchoniemych im. Jakuba Falkowskiego,Plac Trzech Krzyży 4/6 Warszawa,Tadeusz Adamiec,226280431,przeglądaj
Wola,CXXV Liceum Ogólnokształcące im. Waldemara Milewicza,Zespół Szkół nr 7 im. Szczepana Bońkowskiego,ul. Chłodna 36/46 Warszawa,Paweł Mirecki,226209344,przeglądaj
Wola,CXXVIII Liceum Ogólnokształcące dla Dorosłych,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Praga Północ,CXXX Liceum Ogólnokształcące dla Dorosłych,Zespół Szkół nr 73,ul. Wenantego Burdzińskiego 4 Warszawa,Wiesław Włodarski,226192371,przeglądaj
Ochota,CXXXIII Liceum Ogólnokształcące dla Dorosłych,Centrum Kształcenia Ustawicznego nr 2,ul. Szczęśliwicka 56 Warszawa,Dariusz Tomczak,228229895,przeglądaj
Wola,CXXXIX Liceum Ogólnokształcące Specjalne,Specjalny Ośrodek Szkolno-Wychowawczy dla Głuchych im. Jana Siestrzyńskiego,ul. Łucka 17/23 Warszawa,Anna Stopińska,226242891,przeglądaj
Śródmieście,CXXXVI Liceum Ogólnokształcące Specjalne,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,ul. Koźmińska 7 Warszawa,Beata Kotowska,226291610,przeglądaj
Targówek,CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana,Zespół Szkół nr 113,ul. Olgierda 35/41 Warszawa,Jolanta Kaczmara,225119500,przeglądaj
Bemowo,Dzielnicowe Biuro Finansów Oświaty Bemowo m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Bemowo m.st. Warszawy,ul. Powstańców Śląskich 70 Warszawa,Piotr Kobierski,225337890,przeglądaj
Białołęka,Dzielnicowe Biuro Finansów Oświaty Białołęka m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Białołęka m.st. Warszawy,ul. Modlińska 190 Warszawa,Alicja Szkiela,225103620,przeglądaj
Bielany,Dzielnicowe Biuro Finansów Oświaty Bielany m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Bielany m.st. Warszawy,ul. Stefana Żeromskiego 29 Warszawa,Zofia Klusek,223733674,przeglądaj
Mokotów,Dzielnicowe Biuro Finansów Oświaty Mokotów m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Mokotów m.st. Warszawy,ul. Postępu 13 Warszawa,Małgorzata Krajewska,225418000,przeglądaj
Ochota,Dzielnicowe Biuro Finansów Oświaty Ochota m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Ochota m.st. Warszawy,ul. Radomska 13/21 Warszawa,Włodzimierz Góral,226590561,przeglądaj
Praga Północ,Dzielnicowe Biuro Finansów Oświaty Praga Północ m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Praga Północ m.st. Warszawy,ul. ks. Ignacego Kłopotowskiego 15 Warszawa,Edyta Federowicz,225900260,przeglądaj
Praga Południe,Dzielnicowe Biuro Finansów Oświaty Praga Południe m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Praga Południe m.st. Warszawy,ul. Grochowska 262 Warszawa,Robert Sagan,225006800,przeglądaj
Rembertów,Dzielnicowe Biuro Finansów Oświaty Rembertów m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Rembertów m.st. Warszawy,"Aleja gen. Antoniego Chruściela ""Montera"" 28 Warszawa",Andrzej Mykowiecki,225151619,przeglądaj
Śródmieście,Dzielnicowe Biuro Finansów Oświaty Śródmieście m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Śródmieście m.st. Warszawy,ul. Smolna 10a Warszawa,Elżbieta Sadowska,222770100,przeglądaj
Targówek,Dzielnicowe Biuro Finansów Oświaty Targówek m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Targówek m.st. Warszawy,ul. Stojanowska 12/14 Warszawa,Renata Gąsior,225178730,przeglądaj
Ursus,Dzielnicowe Biuro Finansów Oświaty Ursus m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Ursus m.st. Warszawy,Plac Czerwca 1976 Roku 1 Warszawa,Elżbieta Chybińska,224782179,przeglądaj
Ursynów,Dzielnicowe Biuro Finansów Oświaty Ursynów m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Ursynów m.st. Warszawy,Aleja Komisji Edukacji Narodowej 61 Warszawa,Alicja Sujkowska-Szkup,225457465,przeglądaj
Wawer,Dzielnicowe Biuro Finansów Oświaty Wawer m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wawer m.st. Warszawy,ul. Włókiennicza 54 Warszawa,Anna Piwowarek,222770870,przeglądaj
Wesoła,Dzielnicowe Biuro Finansów Oświaty Wesoła m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wesoła m.st. Warszawy,Plac Wojska Polskiego (Wesoła) 28 Warszawa,Andrzej Dominiak,227788200,przeglądaj
Wilanów,Dzielnicowe Biuro Finansów Oświaty Wilanów m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wilanów m.st. Warszawy,ul. Stanisława Lentza 3 Warszawa,Dariusz Galiński,222770850,przeglądaj
Wola,Dzielnicowe Biuro Finansów Oświaty Wola m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wola m.st. Warszawy,ul. Rogalińska 2 Warszawa,Renata Piekut,225356121,przeglądaj
Włochy,Dzielnicowe Biuro Finansów Oświaty Włochy m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Włochy m.st. Warszawy,ul. Malownicza 31a Warszawa,Rafał Miecznikowski,225758919,przeglądaj
Żoliborz,Dzielnicowe Biuro Finansów Oświaty Żoliborz m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Żoliborz m.st. Warszawy,ul. Alojzego Felińskiego 15 Warszawa,Ewa Jagielska,228398981,przeglądaj
Śródmieście,Gimnazjum dla Dorosłych nr 157,Centrum Kształcenia Ustawicznego nr 1,ul. Stanisława Noakowskiego 6 Warszawa,Ewa Ałasa,228256915,przeglądaj
Wola,Gimnazjum dla Dorosłych nr 159,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Praga Południe,Gimnazjum dla Dorosłych nr 160,Centrum Kształcenia Ustawicznego nr 5,ul. Mińska 1/5 Warszawa,Beata Giziewicz,228187021,przeglądaj
Śródmieście,Gimnazjum Dwujęzyczne nr 33 im. Stefana Batorego,Zespół Szkół nr 66,ul. Myśliwiecka 6 Warszawa,Barbara Kordas,226282101,przeglądaj
Śródmieście,Gimnazjum Dwujęzyczne nr 34 im. Narcyzy Żmichowskiej,Zespół Szkół nr 67,ul. Klonowa 16 Warszawa,Joanna Chrapkowska,228493734,przeglądaj
Mokotów,Gimnazjum Dwujęzyczne nr 42 im. Bohaterek Powstania Warszawskiego,Gimnazjum Dwujęzyczne nr 42 im. Bohaterek Powstania Warszawskiego,ul. Wojciecha Żywnego 25 Warszawa,Wanda Turlej,226204931,przeglądaj
Wola,Gimnazjum Dwujęzyczne nr 50 im. gen. Władysława Sikorskiego,Zespół Szkół nr 117,ul. Józefa Bema 76 Warszawa,Justyna Matejczyk,226321852,przeglądaj
Żoliborz,Gimnazjum Dwujęzyczne nr 53 im. Stefanii Sempołowskiej,Zespół Szkół nr 53,ul. ks. Jerzego Popiełuszki 5 Warszawa,Anna Adamczyk,226636894,przeglądaj
Mokotów,Gimnazjum Dwujęzyczne nr 59,Zespół Szkół nr 61 im. Tadeusza Reytana,ul. Wiktorska 30/32 Warszawa,Seweryn Szatkowski,226463410,przeglądaj
Mokotów,Gimnazjum Integracyjne nr 12,Zespół Szkół Integracyjnych nr 62 im. Raoula Wallenberga,ul. św. Bonifacego 10 Warszawa,Lidia Kumanek,226429844,przeglądaj
Praga Południe,Gimnazjum Integracyjne nr 29 im. Janusza Korczaka,Zespół Szkół Integracyjnych nr 75,ul. Sylwestra Bartosika 5 Warszawa,Krystyna Pawlaczyk,226713372,przeglądaj
Wola,Gimnazjum Integracyjne nr 52,Zespół Szkół Integracyjnych nr 71 im. Edmunda Bojanowskiego,ul. Deotymy 37 Warszawa,Magdalena Politańska,228360312,przeglądaj
Wola,Gimnazjum Integracyjne nr 61 im. Ireny Sendlerowej,Zespół Szkół z Oddziałami Integracyjnymi nr 65,ul. Elekcyjna 21/23 Warszawa,Magdalena Księżopolska,228364764,przeglądaj
Bielany,Gimnazjum Integracyjne nr 70,Zespół Szkół z Oddziałami Integracyjnymi nr 56,ul. Antoniego Fontany 1 Warszawa,Ewa Rumińska,228346568,przeglądaj
Mokotów,Gimnazjum nr 1 z Oddziałami Dwujęzycznymi im. Roberta Schumana,Gimnazjum nr 1 z Oddziałami Dwujęzycznymi im. Roberta Schumana,ul. Tyniecka 25 Warszawa,Barbara Dąbrowska,228440557,przeglądaj
Mokotów,Gimnazjum nr 10 im. gen. Władysława Sikorskiego,Gimnazjum nr 10 im. gen. Władysława Sikorskiego,ul. Bolesława Limanowskiego 9 Warszawa,Beata Prugar,228424276,przeglądaj
Wawer,Gimnazjum nr 101,Zespół Szkół nr 111,ul. Poezji 5 Warszawa,Maria Maciak,228729271,przeglądaj
Wawer,Gimnazjum nr 102,Zespół Szkół nr 116,ul. Wichrowa 4 Warszawa,Bartłomiej Wesołowski,228127282,przeglądaj
Wawer,Gimnazjum nr 103 z Oddziałami Integracyjnymi i Oddziałami Dwujęzycznymi im. ks. Jana Twardowskiego,Zespół Szkół nr 114,ul. Alpejska 16 Warszawa,Magdalena Sitnicka,222771101,przeglądaj
Wawer,Gimnazjum nr 105 im. Olimpijczyków Polskich,Zespół Szkół nr 115,ul. Króla Maciusia 5 Warszawa,Agata Kołodziejczyk,228124611,przeglądaj
Wawer,Gimnazjum nr 106 im. 19 Pułku Ułanów Wołyńskich,Zespół Szkół nr 70,ul. Bajkowa 17/21 Warszawa,Monika Prochot,226155883,przeglądaj
Mokotów,Gimnazjum nr 11 im. Ignacego Jana Paderewskiego,Gimnazjum nr 11 im. Ignacego Jana Paderewskiego,ul. Podbipięty 2 Warszawa,Monika Kalata,228434711,przeglądaj
Włochy,Gimnazjum nr 112 im. Króla Jana III Sobieskiego,Gimnazjum nr 112 im. Króla Jana III Sobieskiego,ul. Solipska 17/19 Warszawa,Iwona Rydlewska,228637787,przeglądaj
Włochy,"Gimnazjum nr 113 z Oddziałami Dwujęzycznymi im. Zawiszaków Proporca ""Victoria""","Zespół Szkół nr 17 im. Zawiszaków Proporca ""Victoria""",ul. Promienista 12a Warszawa,Małgorzata Michalska,228637304,przeglądaj
Włochy,Gimnazjum nr 114 z Oddziałami Integracyjnymi,Zespół Szkół nr 126 z Oddziałami Integracyjnymi,ul. Malownicza 31a Warszawa,Joanna Heropolitańska-Janik,228462202,przeglądaj
Wilanów,Gimnazjum nr 116 im. Husarii Rzeczypospolitej,Zespół Szkół nr 123,ul. Uprawna 9/17 Warszawa,Katarzyna Potrzebowska,228429989,przeglądaj
Wilanów,Gimnazjum nr 117 im. Wandy Rutkiewicz,Zespół Szkół nr 2 im. Wandy Rutkiewicz,ul. Gubinowska 28/30 Warszawa,Anna Jaczewska,228429360,przeglądaj
Wesoła,Gimnazjum nr 118 im. Pierwszej Kompanii Kadrowej,Zespół Szkół nr 94,ul. Krótka (Wesoła) 1 Warszawa,Katarzyna Paroń-Bryła,227734204,przeglądaj
Wesoła,Gimnazjum nr 119 im. Marszałka Józefa Piłsudskiego,Gimnazjum nr 119 im. Marszałka Józefa Piłsudskiego,ul. Klimatyczna (Wesoła) 1 Warszawa,Ewa Tucholska,227732335,przeglądaj
Wesoła,Gimnazjum nr 120 im. Noblistów Polskich,Gimnazjum nr 120 im. Noblistów Polskich,ul. Armii Krajowej (Wesoła) 39 Warszawa,Ewa Różycka,227739761,przeglądaj
Białołęka,Gimnazjum nr 121 im. Wojciecha Zawadzkiego,Gimnazjum nr 121 im. Wojciecha Zawadzkiego,ul. Płużnicka 4 Warszawa,Wanda Walkowiak,228112608,przeglądaj
Białołęka,Gimnazjum nr 122 z Oddziałami Dwujęzycznymi im. gen. Charlesa de Gaulle'a,Zespół Szkół nr 106,ul. Vincenta van Gogha 1 Warszawa,Elżbieta Gęsina,228844380,przeglądaj
Białołęka,Gimnazjum nr 123 z Oddziałami Dwujęzycznymi i Oddziałami Integracyjnymi im. Jana Pawła II,Gimnazjum nr 123 z Oddziałami Dwujęzycznymi i Oddziałami Integracyjnymi im. Jana Pawła II,ul. Strumykowa 21 Warszawa,Małgorzata Wiśniewska,225870981,przeglądaj
Białołęka,Gimnazjum nr 124 im. Polskich Noblistów,Gimnazjum nr 124 im. Polskich Noblistów,ul. Przytulna 3 Warszawa,Bożena Rutkowska,228110684,przeglądaj
Białołęka,Gimnazjum nr 125,Zespół Szkół nr 43,ul. Kobiałka 49 Warszawa,Bożena Smoczyńska,227417048,przeglądaj
Rembertów,Gimnazjum nr 127,Zespół Szkół nr 74,ul. Niepołomicka 26 Warszawa,Magdalena Saganowska,228798018,przeglądaj
Ochota,Gimnazjum nr 13 im. Stanisława Staszica,Zespół Szkół nr 82,ul. Nowowiejska 37a Warszawa,Regina Lewkowicz,228251521,przeglądaj
Ursus,Gimnazjum nr 130 z Oddziałami Integracyjnymi im. Jana Pawła II,Zespół Szkół z Oddziałami Integracyjnymi nr 80,ul. Orłów Piastowskich 47 Warszawa,Magdalena Grabska,226674654,przeglądaj
Ursus,Gimnazjum nr 131 im. Krzysztofa Kamila Baczyńskiego,Gimnazjum nr 131 im. Krzysztofa Kamila Baczyńskiego,ul. Michała Drzymały 1 Warszawa,Renata Wysokińska-Bakker,226627315,przeglądaj
Ursus,Gimnazjum nr 132 z Oddziałami Integracyjnymi,Gimnazjum nr 132 z Oddziałami Integracyjnymi,ul. Dzieci Warszawy 42 Warszawa,Beata Żeromska,226627581,przeglądaj
Targówek,"Gimnazjum nr 141 im. majora Henryka Dobrzańskiego ""Hubala""","Gimnazjum nr 141 im. majora Henryka Dobrzańskiego ""Hubala""",ul. Trocka 4 Warszawa,Grzegorz Kaliski,226780180,przeglądaj
Targówek,Gimnazjum nr 142 z Oddziałami Dwujęzycznymi im. Roberta Schumana,Zespół Szkół nr 113,ul. Olgierda 35/41 Warszawa,Jolanta Kaczmara,225119500,przeglądaj
Targówek,Gimnazjum nr 143 z Oddziałami Integracyjnymi im. Ignacego Jana Paderewskiego,Gimnazjum nr 143 z Oddziałami Integracyjnymi im. Ignacego Jana Paderewskiego,ul. Bartnicza 8 Warszawa,Emilia Walczak,228111912,przeglądaj
Targówek,Gimnazjum nr 144 z Oddziałami Integracyjnymi im. Szarych Szeregów,Gimnazjum nr 144 z Oddziałami Integracyjnymi im. Szarych Szeregów,ul. Turmoncka 2 Warszawa,Hanna Kiljańska,228111908,przeglądaj
Targówek,Gimnazjum nr 145 im. Jana Pawła II,Gimnazjum nr 145 im. Jana Pawła II,ul. Krasiczyńska 4/6 Warszawa,Maria Nawrocka-Rolewska,226756303,przeglądaj
Ochota,"Gimnazjum nr 15 im. gen. dyw. Stefana Roweckiego ""Grota""","Gimnazjum nr 15 im. gen. dyw. Stefana Roweckiego ""Grota""",ul. Józefa Siemieńskiego 6 Warszawa,Dorota Postek,228223129,przeglądaj
Ochota,Gimnazjum nr 158 dla Dorosłych,Centrum Kształcenia Ustawicznego nr 2,ul. Szczęśliwicka 56 Warszawa,Dariusz Tomczak,228229895,przeglądaj
Ochota,Gimnazjum nr 16 z Oddziałami Integracyjnymi im. Obrońców Barykady Września 1939 roku,Gimnazjum nr 16 z Oddziałami Integracyjnymi im. Obrońców Barykady Września 1939 roku,ul. Stanisława Skarżyńskiego 8 Warszawa,Magdalena Wierzyńska,228229989,przeglądaj
Białołęka,Gimnazjum nr 164 z Oddziałami Integracyjnymi i Oddziałami Dwujęzycznymi im. Polskich Olimpijczyków,Gimnazjum nr 164 z Oddziałami Integracyjnymi i Oddziałami Dwujęzycznymi im. Polskich Olimpijczyków,ul. Ostródzka 175 Warszawa,Krystyna Sosnowska,226753799,przeglądaj
Bielany,Gimnazjum nr 165,Zespół Szkół nr 118,ul. Kiwerska 3 Warszawa,Izabela Muszyńska,228331333,przeglądaj
Śródmieście,Gimnazjum nr 166,Zespół Szkół nr 121,ul. Czerniakowska 128 Warszawa,Magdalena Kochel,228414945,przeglądaj
Mokotów,Gimnazjum nr 2 im. Kawalerów Orderu Wojennego Virtuti Militari,Gimnazjum nr 2 im. Kawalerów Orderu Wojennego Virtuti Militari,ul. Ludwika Narbutta 65/71 Warszawa,Andrzej Miller,228499643,przeglądaj
Praga Południe,Gimnazjum nr 20 im. Bohaterów Olszynki Grochowskiej,Gimnazjum nr 20 im. Bohaterów Olszynki Grochowskiej,ul. Afrykańska 11 Warszawa,Bożena Mossakowska,226176803,przeglądaj
Praga Południe,Gimnazjum nr 23 im. Ireny Sendlerowej,Gimnazjum nr 23 im. Ireny Sendlerowej,ul. Tarnowiecka 4 Warszawa,Katarzyna Sicińska,226125179,przeglądaj
Praga Południe,Gimnazjum nr 27 z Oddziałami Dwujęzycznymi im. Orląt Lwowskich,Gimnazjum nr 27 z Oddziałami Dwujęzycznymi im. Orląt Lwowskich,ul. gen. Romana Abrahama 10 Warszawa,Jolanta Kępka,226710842,przeglądaj
Praga Południe,Gimnazjum nr 28 im. gen. bryg. Franciszka Sznajdego,Gimnazjum nr 28 im. gen. bryg. Franciszka Sznajdego,ul. Władysława Umińskiego 11 Warszawa,Marek Nowotka,226139344,przeglądaj
Mokotów,Gimnazjum nr 3 im. Marszałka Józefa Piłsudskiego,Gimnazjum nr 3 im. Marszałka Józefa Piłsudskiego,ul. Chełmska 23 Warszawa,Katarzyna Hampel,228411643,przeglądaj
Praga Północ,Gimnazjum nr 30 im. Kazimierza Pułaskiego,Gimnazjum nr 30 im. Kazimierza Pułaskiego,ul. Józefa Szanajcy 17/19 Warszawa,Barbara Piecko,226197960,przeglądaj
Praga Północ,Gimnazjum nr 31 z Oddziałami Integracyjnymi im. Rotmistrza Witolda Pileckiego,Gimnazjum nr 31 z Oddziałami Integracyjnymi im. Rotmistrza Witolda Pileckiego,ul. Józefa Sierakowskiego 9 Warszawa,Joanna Stelmaszczyk,226192186,przeglądaj
Praga Północ,Gimnazjum nr 32 z Oddziałami Integracyjnymi im. Adama Asnyka,Zespół Szkół nr 112,ul. Otwocka 3 Warszawa,Renata Wilczyńska,226190266,przeglądaj
Śródmieście,Gimnazjum nr 36 im. Krzysztofa Kieślowskiego,Gimnazjum nr 36 im. Krzysztofa Kieślowskiego,ul. Polna 7 Warszawa,Izabela Rzepka,228250252,przeglądaj
Śródmieście,Gimnazjum nr 37 z Oddziałami Integracyjnymi im. Krzysztofa Kamila Baczyńskiego,Gimnazjum nr 37 z Oddziałami Integracyjnymi im. Krzysztofa Kamila Baczyńskiego,ul. Niska 5 Warszawa,Ewa Kalińska,228311497,przeglądaj
Śródmieście,Gimnazjum nr 38 im. Marii Skłodowskiej-Curie,Gimnazjum nr 38 im. Marii Skłodowskiej-Curie,ul. Świętokrzyska 18a Warszawa,Małgorzata Król,228269792,przeglądaj
Śródmieście,Gimnazjum nr 39 im. Agaty Mróz-Olszewskiej,Gimnazjum nr 39 im. Agaty Mróz-Olszewskiej,ul. Hoża 11/15 Warszawa,Ewa Soszyńska,226285018,przeglądaj
Mokotów,Gimnazjum nr 4 im. Władysława Broniewskiego,Gimnazjum nr 4 im. Władysława Broniewskiego,ul. Fryderyka Joliot-Curie 13 Warszawa,Elżbieta Trzcińska,228450292,przeglądaj
Śródmieście,"Gimnazjum nr 40 z Oddziałami Integracyjnymi im. Żołnierzy Armii Krajowej Grupy Bojowej ""Krybar""",Zespół Szkół nr 69,ul. Drewniana 8 Warszawa,Beata Ostałowska,228278728,przeglądaj
Śródmieście,Gimnazjum nr 41 im. gen. Mariusza Zaruskiego,Zespół Szkół nr 60,ul. Stefanii Sempołowskiej 4 Warszawa,Justyna Nowaczek,226292515,przeglądaj
Śródmieście,Gimnazjum nr 43 im. Wojska Polskiego,Zespół Szkół nr 125,ul. Hoża 88 Warszawa,Ryszard Raczyński,226287343,przeglądaj
Śródmieście,Gimnazjum nr 44 im. Generała Pawła Chrzanowskiego,Gimnazjum nr 44 im. Generała Pawła Chrzanowskiego,ul. Smolna 30 Warszawa,Anna Jarosz,228278947,przeglądaj
Wola,Gimnazjum nr 45 z Oddziałami Integracyjnymi im. Powstania Warszawskiego,Gimnazjum nr 45 z Oddziałami Integracyjnymi im. Powstania Warszawskiego,ul. Żelazna 71 Warszawa,Anna Brzozowska-Karasek,226202444,przeglądaj
Wola,Gimnazjum nr 46 im. Szarych Szeregów,Gimnazjum nr 46 im. Szarych Szeregów,ul. Marcina Kasprzaka 1/3 Warszawa,Iwona Lisowska,226322317,przeglądaj
